Name,Gender,"Rating Value","Rating Count","Main Accords",Perfumers,Description,url
"Whispers of Innocence House Of Sillagefor women","for women",3.42,71,"['yellow floral', 'honey', 'beeswax', 'sweet', 'white floral', 'amber', 'vanilla', 'animalic', 'powdery', 'floral']",[],"Whispers of InnocencebyHouse Of Sillageis a Floral Fruity Gourmand fragrance for women.Whispers of Innocencewas launched in 2017. Top notes are Lime (Linden) Blossom and Violet Leaf; middle notes are Beeswax and Egyptian Jasmine; base notes are Amber and Vanilla.",https://www.fragrantica.com/perfume/House-Of-Sillage/Whispers-of-Innocence-47313.html
"Floratta in Lilac O Boticáriofor women","for women",3.79,34,"['floral', 'fruity', 'soft spicy', 'citrus', 'musky', 'woody', 'powdery', 'fresh', 'sweet', 'white floral']","['Thierry Bessard']","Floratta in LilacbyO Boticáriois a Floral fragrance for women.Floratta in Lilacwas launched in 2009. The nose behind this fragrance is Thierry Bessard. Top notes are Black Currant and Citruses; middle notes are Freesia, Pink Pepper, Orchid and Jasmine; base notes are Musk, Sandalwood and Amber.",https://www.fragrantica.com/perfume/O-Boticario/Floratta-in-Lilac-9771.html
"Thank U Next 2.0 Ariana Grandefor women","for women",4.15,776,"['fruity', 'sweet', 'woody', 'powdery', 'musky']",[],"Thank U Next 2.0byAriana Grandeis a Floral Fruity fragrance for women.Thank U Next 2.0was launched in 2021. Top notes are Apple juice, Wild Strawberry and Pomegranate; middle notes are White Orchid and Jasmine; base notes are Marshmallow, Musk and Sandalwood.",https://www.fragrantica.com/perfume/Ariana-Grande/Thank-U-Next-2-0-68367.html
"Mouse King Latheratifor women and men","for women and men",4,2,"['aldehydic', 'citrus', 'fresh', 'amber', 'musky', 'mossy', 'earthy', 'tuberose', 'powdery', 'soapy']","['Julie Grogan']","Mouse KingbyLatheratiis a Chypre Fruity fragrance for women and men.Mouse Kingwas launched in 2018. The nose behind this fragrance is Julie Grogan.",https://www.fragrantica.com/perfume/Latherati/Mouse-King-52746.html
"Sweet Sticky Things Haught Parfumsfor women and men","for women and men",3.9,29,"['sweet', 'caramel', 'marine', 'aromatic', 'powdery']","['Jarekhye Covarrubias']","Sweet Sticky ThingsbyHaught Parfumsis a fragrance for women and men.Sweet Sticky Thingswas launched in 2016. The nose behind this fragrance is Jarekhye Covarrubias.",https://www.fragrantica.com/perfume/Haught-Parfums/Sweet-Sticky-Things-39692.html
"Luan Santana LS&You Live Jequitifor men","for men",4.08,13,"['amber', 'aromatic', 'fresh spicy', 'marine', 'animalic', 'white floral', 'sweet', 'salty', 'warm spicy', 'balsamic']",[],"Luan Santana LS&You LivebyJequitiis a Woody fragrance for men.Luan Santana LS&You Livewas launched in 2019. Top notes are Bay Leaf, Plum and Black Pepper; middle notes are Sea Notes, Orange Blossom, Geranium and Cashmirwood; base notes are Ambergris, Benzoin, Leather, Cedar and Tonka Bean.",https://www.fragrantica.com/perfume/Jequiti/Luan-Santana-LS-You-Live-56738.html
"The Ritual of Chadō Ritualsfor women and men","for women and men",4.12,34,"['woody', 'green', 'fresh', 'ozonic', 'earthy']",[],"The Ritual of ChadōbyRitualsis a Aromatic Green fragrance for women and men.The Ritual of Chadōwas launched in 2019.",https://www.fragrantica.com/perfume/Rituals/The-Ritual-of-Chado-54804.html
"Energique CIEL Parfumfor women","for women",5,2,"['citrus', 'aromatic', 'woody', 'green', 'fresh spicy', 'fresh', 'white floral']",[],"EnergiquebyCIEL Parfumis a Citrus fragrance for women. Top notes are Petitgrain, Citruses and Mandarin Orange; middle notes are Neroli and Lavender; base notes are Cedar and Musk.",https://www.fragrantica.com/perfume/CIEL-Parfum/Energique-34449.html
"Mocha Valencia The Dua Brandfor women and men","for women and men",3.5,2,"['warm spicy', 'coffee', 'musky', 'chocolate', 'citrus', 'powdery', 'sweet', 'cacao']",[],"Mocha ValenciabyThe Dua Brandis a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance.Mocha Valenciawas launched in 2022.",https://www.fragrantica.com/perfume/The-Dua-Brand/Mocha-Valencia-80889.html
"No 10 White Oud Agonistfor women and men","for women and men",3.63,87,"['musky', 'powdery', 'woody', 'oud', 'amber', 'rose', 'sweet', 'violet', 'yellow floral', 'patchouli']",[],"No 10 White OudbyAgonistis a Woody Floral Musk fragrance for women and men.No 10 White Oudwas launched in 2014. Top notes are Ylang-Ylang and Lily-of-the-Valley; middle notes are May Rose, Violet, Patchouli and Tonka Bean; base notes are White Musk, Agarwood (Oud), Ambergris and Cypriol Oil or Nagarmotha.",https://www.fragrantica.com/perfume/Agonist/No-10-White-Oud-29238.html
"Türkan No/8 Floraison Türkanfor women and men","for women and men",4,1,"['earthy', 'amber', 'white floral', 'patchouli', 'musky', 'fresh spicy', 'warm spicy', 'animalic', 'powdery', 'fresh']",[],"Türkan No/8 FloraisonbyTürkanis a fragrance for women and men.Türkan No/8 Floraisonwas launched in 2021. Top notes are Black Pepper and Truffle; middle notes are Lily-of-the-Valley and Musk; base notes are Patchouli and Amber.",https://www.fragrantica.com/perfume/Tuerkan/Tuerkan-No-8-Floraison-78697.html
"SPFW Paixão Naturafor women and men","for women and men",4,5,"['cacao', 'floral', 'fruity', 'warm spicy', 'vanilla', 'sweet']","['Verônica Kato']","SPFW PaixãobyNaturais a Amber Vanilla fragrance for women and men.SPFW Paixãowas launched in 2009. The nose behind this fragrance is Verônica Kato.",https://www.fragrantica.com/perfume/Natura/SPFW-Paixao-35775.html
